entry_index,exit_index,instrument,direction,entry_price,exit_price,exit_reason,pnl_pips,confidence,mood
6724,6774,EUR_USD,bullish,1.10177,1.10186,Timeout Exit,0.9,0.8,soaring
6778,6828,EUR_USD,bullish,1.10476,1.09788,Timeout Exit,-68.8,0.8,soaring
6832,6876,EUR_USD,bearish,1.09723,1.0975,Trailing Stop,-2.7,0.8,plunging
6878,6895,EUR_USD,bullish,1.09811,1.1002,Trailing Stop,20.9,0.8500000000000001,soaring
6911,6954,EUR_USD,bearish,1.09874,1.09856,Trailing Stop,1.8,0.8,plunging
6955,6969,EUR_USD,bullish,1.09856,1.10192,Trailing Stop,33.6,0.8500000000000001,soaring
6970,6992,EUR_USD,bullish,1.10192,1.11882,Trailing Stop,169.0,0.8,soaring
7009,7019,EUR_USD,bullish,1.11794,1.11764,Trailing Stop,-3.0,0.8,soaring
7050,7055,EUR_USD,bearish,1.11044,1.11051,Trailing Stop,-0.7,0.8,plunging
7061,7111,EUR_USD,bearish,1.10905,1.11468,Timeout Exit,-56.3,0.8,plunging
7289,7339,EUR_USD,bullish,1.11561,1.11133,Timeout Exit,-42.8,0.8,soaring
7340,7377,EUR_USD,bearish,1.11133,1.11045,Trailing Stop,8.8,0.8,plunging
7383,7433,EUR_USD,bearish,1.11015,1.10884,Timeout Exit,13.1,0.65,climbing from valley
7442,7492,EUR_USD,bullish,1.1108,1.11042,Timeout Exit,-3.8,0.75,soaring
7494,7544,EUR_USD,bearish,1.1097,1.10687,Timeout Exit,28.3,0.8500000000000001,plunging
7545,7595,EUR_USD,bearish,1.10687,1.12205,Timeout Exit,-151.8,0.65,climbing from valley
7610,7628,EUR_USD,bullish,1.12255,1.13182,Trailing Stop,92.7,0.8,soaring
7639,7689,EUR_USD,bullish,1.13105,1.1319,Timeout Exit,8.5,0.8,soaring
7707,7728,EUR_USD,bearish,1.13051,1.1286,Trailing Stop,19.1,0.65,climbing from valley
7743,7793,EUR_USD,bearish,1.12841,1.12696,Timeout Exit,14.5,0.8500000000000001,plunging
7963,8013,EUR_USD,bullish,1.12736,1.12755,Timeout Exit,1.9,0.65,slipping from heights
8035,8085,EUR_USD,bearish,1.12439,1.12471,Timeout Exit,-3.2,0.8,plunging
8089,8139,EUR_USD,bullish,1.12577,1.12183,Timeout Exit,-39.4,0.8500000000000001,soaring
8145,8195,EUR_USD,bullish,1.12198,1.11855,Timeout Exit,-34.3,0.8500000000000001,soaring
8198,8231,EUR_USD,bearish,1.11865,1.1184,Trailing Stop,2.5,0.8,plunging
